ID,name,cname,population,lon,lat
211403,辽宁省锦西市葫芦岛区,葫芦岛市,262.35,120.904586,40.75099271
6226,甘肃省陇南地区,陇南市,256.77,104.9345734,33.39447997
352601,福建省龙岩市,龙岩市,255.95,117.0179967,25.07868543
2308,黑龙江佳木斯市,佳木斯市,255.21,130.2847346,46.8137796
1521,内蒙古呼伦贝尔盟,呼伦贝尔市,254.93,119.7608218,49.20163605
4331,湖南省湘西土家族苗族自治州,湘西州,254.78,109.7457458,28.31795079
4111,河南省漯河市,漯河市,254.41,114.0460614,33.57627869
532722,云南省普洱哈尼族继族自治区,普洱市,254.3,100.9800577,22.78877778
3425,安徽省宣城地区,宣城市,253.3,118.7520963,30.95164235
533001,云南省保山市,保山市,250.6,99.17799561,25.1204892
3504,福建省三明市,三明市,250.34,117.6421939,26.27083528
5108,四川省广元市,广元市,248.41,105.8196869,32.44104016
6540,新疆伊犁哈萨克自治州,伊犁州,248.26,81.29785353,43.9222481
422301,湖北省咸宁市,咸宁市,246.26,114.3000606,29.88065676
2106,辽宁省丹东市,丹东市,244.47,124.3385431,40.12902283
5335,云南省临沧地区,临沧市,243,100.0926129,23.8878061
4202,湖北省黄石市,黄石市,242.93,115.0506832,30.21612713
2108,辽宁省营口市,营口市,242.85,122.2333914,40.66865107
4417,广东省阳江市,阳江市,242.18,111.9770098,21.8715173
6529,新疆阿克苏地区,阿克苏地区,237.09,80.26984618,41.1717309
441281,广东省云浮市,云浮市,236.01,112.050946,22.93797569
6125,陕西省商洛地区,商洛市,234.17,109.9342082,33.8739074
3404,安徽省淮南市,淮南市,233.4,117.0186389,32.64281182
2205,吉林省通化市,通化市,232.52,125.9426501,41.73639713
532401,云南省玉溪市,玉溪市,230.4,102.5450679,24.37044713
522501,贵州省安顺市,安顺市,229.73,105.92827,26.22859458
1405,山西省晋城市,晋城市,227.92,112.8673328,35.49983447
2224,吉林省延边朝鲜族自治州,延边州,227.16,129.485902,42.8964136
