ID,date,confirmed,deaths,d_confirmed,d_deaths
JP,2021-08-24,1347015,15710,21669,42
JP,2021-08-25,1371426,15755,24411,45
JP,2021-08-26,1396464,15807,25038,52
JP,2021-08-27,1420783,15864,24319,57
JP,2021-08-28,1443642,15906,22859,42
JP,2021-08-29,1462979,15955,19337,49
JP,2021-08-30,1476653,16001,13674,46
JP,2021-08-31,1494372,16065,17719,64
JP,2021-09-01,1514400,16136,20028,71
JP,2021-09-02,1532616,16201,18216,65
JP,2021-09-03,1549337,16265,16721,64
JP,2021-09-04,1565351,16325,16014,60
JP,2021-09-05,1578258,16356,12907,31
JP,2021-09-06,1586482,16396,8224,40
JP,2021-09-07,1597089,16458,10607,62
JP,2021-09-08,1609477,16547,12388,89
JP,2021-09-09,1619873,16635,10396,88
JP,2021-09-10,1628732,16703,8859,68
JP,2021-09-11,1637534,16759,8802,56
JP,2021-09-12,1644747,16800,7213,41
JP,2021-09-13,1648920,16849,4173,49
JP,2021-09-14,1655199,16904,6279,55
JP,2021-09-15,1662008,16978,6809,74
JP,2021-09-16,1667699,17041,5691,63
JP,2021-09-17,1672812,17105,5113,64
JP,2021-09-18,1677512,17168,4700,63
JP,2021-09-19,1680908,17209,3396,41
JP,2021-09-20,1683129,17232,2221,23
JP,2021-09-21,1684899,17279,1770,47
JP,2021-09-22,1688142,17333,3243,54
JP,2021-09-23,1691743,17382,3601,49
JP,2021-09-24,1693838,17427,2095,45
JP,2021-09-25,1696508,17460,2670,33
JP,2021-09-26,1698644,17481,2136,21
JP,2021-09-27,1699792,17509,1148,28
JP,2021-09-28,1701514,17559,1722,50
JP,2021-09-29,1703497,17607,1983,48
JP,2021-09-30,1705072,17649,1575,42
JP,2021-10-01,1706516,17683,1444,34
JP,2021-10-02,1707759,17715,1243,32
JP,2021-10-03,1708726,17732,967,17
JP,2021-10-04,1709325,17756,599,24
JP,2021-10-05,1710304,17792,979,36
JP,2021-10-06,1711429,17818,1125,26
JP,2021-10-07,1712401,17857,972,39
JP,2021-10-08,1713228,17903,827,46
JP,2021-10-09,1714002,17927,774,24
JP,2021-10-10,1714555,17937,553,10
JP,2021-10-11,1714924,17957,369,20
JP,2021-10-12,1715531,17986,607,29
JP,2021-10-13,1716262,18019,731,33
JP,2021-10-14,1716879,18052,617,33
JP,2021-10-15,1717396,18075,517,23
JP,2021-10-16,1717896,18088,500,13
JP,2021-10-17,1718324,18101,428,13
JP,2021-10-18,1718554,18118,230,17
JP,2021-10-19,1718925,18145,371,27
JP,2021-10-20,1719313,18155,388,10
JP,2021-10-21,1719656,18171,343,16
JP,2021-10-22,1719980,18183,324,12
JP,2021-10-23,1720263,18188,283,5
JP,2021-10-24,1720495,18196,232,8
JP,2021-10-25,1720646,18203,151,7
JP,2021-10-26,1720956,18218,310,15
